caller_id,receiver_id,caller_phone,receiver_phone,timestamp,duration_sec,call_type
P008,P009,+91-90000-10008,+91-90000-10009,2026-08-19 23:32:00,705,voice
P002,P003,+91-90000-10002,+91-90000-10003,2026-06-04 21:04:00,686,voice
P006,P009,+91-90000-10006,+91-90000-10009,2026-08-22 20:12:00,665,voice
P010,P008,+91-90000-10010,+91-90000-10008,2026-06-27 21:45:00,394,voice
P045,P001,+91-90000-10045,+91-90000-10001,2026-06-23 08:11:00,828,voice
P012,P050,+91-90000-10012,+91-90000-10050,2026-06-26 13:29:00,80,voice
P025,P028,+91-90000-10025,+91-90000-10028,2026-06-10 02:31:00,538,voice
P006,P003,+91-90000-10006,+91-90000-10003,2026-07-09 03:42:00,403,voice
P042,P012,+91-90000-10042,+91-90000-10012,2026-07-15 23:37:00,416,voice
P007,P020,+91-90000-10007,+91-90000-10020,2026-06-25 07:01:00,144,voice
P002,P035,+91-90000-10002,+91-90000-10035,2026-07-08 14:05:00,620,voice
P009,P006,+91-90000-10009,+91-90000-10006,2026-08-03 16:51:00,895,voice
P030,P004,+91-90000-10030,+91-90000-10004,2026-06-14 19:19:00,47,voice
P039,P015,+91-90000-10039,+91-90000-10015,2026-08-14 09:06:00,162,voice
P027,P042,+91-90000-10027,+91-90000-10042,2026-08-24 08:50:00,388,voice
P008,P006,+91-90000-10008,+91-90000-10006,2026-07-25 02:44:00,306,voice
P003,P006,+91-90000-10003,+91-90000-10006,2026-07-04 22:44:00,166,voice
P009,P010,+91-90000-10009,+91-90000-10010,2026-07-09 18:06:00,343,voice
P004,P003,+91-90000-10004,+91-90000-10003,2026-08-23 03:24:00,394,voice
P001,P002,+91-90000-10001,+91-90000-10002,2026-07-18 07:58:00,745,voice
P010,P006,+91-90000-10010,+91-90000-10006,2026-07-21 10:24:00,788,voice
P043,P039,+91-90000-10043,+91-90000-10039,2026-06-13 03:32:00,212,voice
P048,P032,+91-90000-10048,+91-90000-10032,2026-06-14 00:08:00,110,voice
P008,P009,+91-90000-10008,+91-90000-10009,2026-07-13 03:39:00,492,voice
P008,P009,+91-90000-10008,+91-90000-10009,2026-06-25 11:03:00,710,voice
P005,P004,+91-90000-10005,+91-90000-10004,2026-08-04 12:54:00,605,voice
P033,P035,+91-90000-10033,+91-90000-10035,2026-08-07 23:46:00,767,voice
P032,P039,+91-90000-10032,+91-90000-10039,2026-06-27 12:02:00,329,voice
P017,P050,+91-90000-10017,+91-90000-10050,2026-06-23 21:39:00,778,voice
P002,P004,+91-90000-10002,+91-90000-10004,2026-08-27 19:08:00,720,voice
P004,P003,+91-90000-10004,+91-90000-10003,2026-07-12 22:15:00,97,voice
P009,P008,+91-90000-10009,+91-90000-10008,2026-08-09 22:01:00,357,voice
P007,P006,+91-90000-10007,+91-90000-10006,2026-06-21 18:16:00,230,voice
P014,P009,+91-90000-10014,+91-90000-10009,2026-07-24 19:00:00,873,voice
P031,P020,+91-90000-10031,+91-90000-10020,2026-08-13 22:09:00,66,voice
P006,P008,+91-90000-10006,+91-90000-10008,2026-06-25 08:42:00,635,voice
P003,P005,+91-90000-10003,+91-90000-10005,2026-07-09 15:35:00,817,voice
P050,P038,+91-90000-10050,+91-90000-10038,2026-07-23 15:11:00,121,voice
P001,P004,+91-90000-10001,+91-90000-10004,2026-06-08 16:28:00,441,voice
P005,P002,+91-90000-10005,+91-90000-10002,2026-08-08 06:42:00,206,voice
P001,P003,+91-90000-10001,+91-90000-10003,2026-08-23 19:31:00,628,voice
P027,P009,+91-90000-10027,+91-90000-10009,2026-06-13 18:37:00,79,voice
P007,P008,+91-90000-10007,+91-90000-10008,2026-08-13 01:02:00,620,voice
P008,P006,+91-90000-10008,+91-90000-10006,2026-07-05 15:44:00,897,voice
P006,P010,+91-90000-10006,+91-90000-10010,2026-07-19 19:52:00,308,voice
P033,P007,+91-90000-10033,+91-90000-10007,2026-08-04 18:26:00,58,voice
P020,P033,+91-90000-10020,+91-90000-10033,2026-06-01 18:01:00,307,voice
P006,P005,+91-90000-10006,+91-90000-10005,2026-06-03 14:09:00,152,voice
P002,P006,+91-90000-10002,+91-90000-10006,2026-08-25 19:00:00,823,voice
P001,P004,+91-90000-10001,+91-90000-10004,2026-06-07 04:15:00,263,voice
P006,P004,+91-90000-10006,+91-90000-10004,2026-07-10 02:01:00,418,voice
P043,P037,+91-90000-10043,+91-90000-10037,2026-06-21 18:28:00,268,voice
P010,P007,+91-90000-10010,+91-90000-10007,2026-06-26 17:40:00,883,voice
P001,P002,+91-90000-10001,+91-90000-10002,2026-07-06 07:20:00,311,voice
P038,P043,+91-90000-10038,+91-90000-10043,2026-08-17 18:53:00,662,voice
P010,P048,+91-90000-10010,+91-90000-10048,2026-07-13 03:30:00,626,voice
P047,P018,+91-90000-10047,+91-90000-10018,2026-07-20 13:24:00,633,voice
P005,P006,+91-90000-10005,+91-90000-10006,2026-07-20 07:02:00,403,voice
P007,P006,+91-90000-10007,+91-90000-10006,2026-06-25 09:49:00,583,voice
P003,P006,+91-90000-10003,+91-90000-10006,2026-08-05 11:58:00,720,voice
P009,P048,+91-90000-10009,+91-90000-10048,2026-07-03 21:11:00,175,voice
P001,P004,+91-90000-10001,+91-90000-10004,2026-07-13 11:58:00,296,voice
P009,P006,+91-90000-10009,+91-90000-10006,2026-06-23 01:10:00,50,voice
P005,P003,+91-90000-10005,+91-90000-10003,2026-06-20 09:17:00,384,voice
P006,P008,+91-90000-10006,+91-90000-10008,2026-07-19 02:08:00,130,voice
P010,P009,+91-90000-10010,+91-90000-10009,2026-06-05 17:44:00,627,voice
P001,P002,+91-90000-10001,+91-90000-10002,2026-07-25 07:28:00,583,voice
P009,P037,+91-90000-10009,+91-90000-10037,2026-07-07 19:28:00,147,voice
P006,P003,+91-90000-10006,+91-90000-10003,2026-08-25 02:54:00,148,voice
P008,P007,+91-90000-10008,+91-90000-10007,2026-08-05 02:17:00,470,voice
P002,P001,+91-90000-10002,+91-90000-10001,2026-08-04 13:28:00,40,voice
P043,P024,+91-90000-10043,+91-90000-10024,2026-06-01 18:46:00,867,voice
P008,P009,+91-90000-10008,+91-90000-10009,2026-07-08 20:51:00,192,voice
P008,P011,+91-90000-10008,+91-90000-10011,2026-08-07 05:25:00,811,voice
P003,P002,+91-90000-10003,+91-90000-10002,2026-06-09 13:14:00,881,voice
P002,P006,+91-90000-10002,+91-90000-10006,2026-08-07 00:19:00,97,voice
P003,P004,+91-90000-10003,+91-90000-10004,2026-06-03 11:59:00,346,voice
P007,P010,+91-90000-10007,+91-90000-10010,2026-06-07 23:10:00,308,voice
P047,P014,+91-90000-10047,+91-90000-10014,2026-08-09 09:31:00,31,voice
P010,P007,+91-90000-10010,+91-90000-10007,2026-08-20 22:13:00,276,voice
P003,P006,+91-90000-10003,+91-90000-10006,2026-08-17 19:26:00,518,voice
P018,P004,+91-90000-10018,+91-90000-10004,2026-08-12 14:19:00,522,voice
P004,P006,+91-90000-10004,+91-90000-10006,2026-08-21 19:12:00,43,voice
P003,P001,+91-90000-10003,+91-90000-10001,2026-07-16 04:00:00,792,voice
P008,P006,+91-90000-10008,+91-90000-10006,2026-08-16 04:48:00,778,voice
P005,P047,+91-90000-10005,+91-90000-10047,2026-08-25 20:25:00,855,voice
P005,P006,+91-90000-10005,+91-90000-10006,2026-08-16 23:52:00,581,voice
P004,P005,+91-90000-10004,+91-90000-10005,2026-06-04 10:45:00,621,voice
P003,P006,+91-90000-10003,+91-90000-10006,2026-08-10 12:39:00,405,voice
P007,P010,+91-90000-10007,+91-90000-10010,2026-06-12 10:18:00,740,voice
P003,P048,+91-90000-10003,+91-90000-10048,2026-07-20 22:53:00,289,voice
P019,P030,+91-90000-10019,+91-90000-10030,2026-06-11 21:42:00,767,voice
P003,P004,+91-90000-10003,+91-90000-10004,2026-06-25 09:14:00,258,voice
P035,P002,+91-90000-10035,+91-90000-10002,2026-06-18 05:05:00,353,voice
P007,P009,+91-90000-10007,+91-90000-10009,2026-06-26 17:19:00,80,voice
P011,P044,+91-90000-10011,+91-90000-10044,2026-06-18 16:39:00,223,voice
P010,P017,+91-90000-10010,+91-90000-10017,2026-08-10 19:06:00,695,voice
P020,P012,+91-90000-10020,+91-90000-10012,2026-07-04 22:32:00,702,voice
P007,P009,+91-90000-10007,+91-90000-10009,2026-07-27 15:57:00,798,voice
P014,P040,+91-90000-10014,+91-90000-10040,2026-06-27 10:12:00,597,voice
P029,P021,+91-90000-10029,+91-90000-10021,2026-06-16 23:49:00,542,voice
P049,P024,+91-90000-10049,+91-90000-10024,2026-07-24 19:30:00,748,voice
P001,P003,+91-90000-10001,+91-90000-10003,2026-08-25 03:21:00,362,voice
P001,P011,+91-90000-10001,+91-90000-10011,2026-07-16 19:23:00,465,voice
P005,P001,+91-90000-10005,+91-90000-10001,2026-06-24 15:34:00,760,voice
P004,P003,+91-90000-10004,+91-90000-10003,2026-07-22 01:38:00,852,voice
P009,P017,+91-90000-10009,+91-90000-10017,2026-08-23 09:58:00,418,voice
P044,P025,+91-90000-10044,+91-90000-10025,2026-06-05 18:28:00,319,voice
P006,P008,+91-90000-10006,+91-90000-10008,2026-08-13 01:40:00,45,voice
P006,P008,+91-90000-10006,+91-90000-10008,2026-08-06 16:14:00,624,voice
P023,P037,+91-90000-10023,+91-90000-10037,2026-06-06 09:20:00,703,voice
P010,P006,+91-90000-10010,+91-90000-10006,2026-07-08 15:32:00,838,voice
P006,P010,+91-90000-10006,+91-90000-10010,2026-06-06 19:38:00,358,voice
P002,P004,+91-90000-10002,+91-90000-10004,2026-07-20 04:28:00,45,voice
P017,P022,+91-90000-10017,+91-90000-10022,2026-08-18 07:57:00,251,voice
P037,P017,+91-90000-10037,+91-90000-10017,2026-06-19 14:19:00,126,voice
P009,P006,+91-90000-10009,+91-90000-10006,2026-06-06 05:08:00,802,voice
P007,P009,+91-90000-10007,+91-90000-10009,2026-07-22 07:09:00,350,voice
P004,P002,+91-90000-10004,+91-90000-10002,2026-06-19 04:44:00,666,voice
P003,P006,+91-90000-10003,+91-90000-10006,2026-06-06 22:10:00,427,voice
P037,P029,+91-90000-10037,+91-90000-10029,2026-07-16 05:45:00,688,voice
P033,P013,+91-90000-10033,+91-90000-10013,2026-08-14 19:13:00,339,voice
P003,P001,+91-90000-10003,+91-90000-10001,2026-06-13 00:33:00,164,voice
P045,P012,+91-90000-10045,+91-90000-10012,2026-06-02 11:07:00,850,voice
P032,P046,+91-90000-10032,+91-90000-10046,2026-07-19 08:44:00,332,voice
P006,P009,+91-90000-10006,+91-90000-10009,2026-08-06 06:43:00,789,voice
P020,P044,+91-90000-10020,+91-90000-10044,2026-07-18 00:36:00,625,voice
P004,P006,+91-90000-10004,+91-90000-10006,2026-08-12 19:25:00,247,voice
P023,P042,+91-90000-10023,+91-90000-10042,2026-08-14 17:28:00,326,voice
P004,P005,+91-90000-10004,+91-90000-10005,2026-06-20 09:34:00,740,voice
P010,P008,+91-90000-10010,+91-90000-10008,2026-08-23 19:58:00,824,voice
P004,P035,+91-90000-10004,+91-90000-10035,2026-08-21 03:13:00,856,voice
P040,P046,+91-90000-10040,+91-90000-10046,2026-08-13 02:00:00,441,voice
P048,P010,+91-90000-10048,+91-90000-10010,2026-06-25 03:27:00,691,voice
P006,P004,+91-90000-10006,+91-90000-10004,2026-07-08 09:42:00,736,voice
P001,P004,+91-90000-10001,+91-90000-10004,2026-07-27 16:17:00,782,voice
P004,P003,+91-90000-10004,+91-90000-10003,2026-06-17 06:23:00,76,voice
P005,P004,+91-90000-10005,+91-90000-10004,2026-06-24 21:21:00,363,voice
P005,P004,+91-90000-10005,+91-90000-10004,2026-08-16 19:42:00,194,voice
P003,P006,+91-90000-10003,+91-90000-10006,2026-07-18 09:44:00,651,voice
P009,P040,+91-90000-10009,+91-90000-10040,2026-06-04 21:08:00,669,voice
P007,P008,+91-90000-10007,+91-90000-10008,2026-08-04 04:44:00,300,voice
P003,P004,+91-90000-10003,+91-90000-10004,2026-06-01 11:42:00,455,voice
P017,P015,+91-90000-10017,+91-90000-10015,2026-06-04 11:20:00,545,voice
P042,P004,+91-90000-10042,+91-90000-10004,2026-06-10 01:32:00,528,voice
P002,P018,+91-90000-10002,+91-90000-10018,2026-07-13 16:06:00,766,voice
P031,P032,+91-90000-10031,+91-90000-10032,2026-08-18 20:16:00,245,voice
P021,P022,+91-90000-10021,+91-90000-10022,2026-06-16 09:30:00,783,voice
P003,P002,+91-90000-10003,+91-90000-10002,2026-08-13 04:19:00,130,voice
P007,P006,+91-90000-10007,+91-90000-10006,2026-08-13 17:36:00,395,voice
P002,P006,+91-90000-10002,+91-90000-10006,2026-06-11 12:28:00,552,voice
P004,P046,+91-90000-10004,+91-90000-10046,2026-07-25 10:11:00,689,voice
P050,P046,+91-90000-10050,+91-90000-10046,2026-07-23 14:37:00,177,voice
P002,P001,+91-90000-10002,+91-90000-10001,2026-07-07 09:12:00,87,voice
P006,P004,+91-90000-10006,+91-90000-10004,2026-06-01 10:23:00,168,voice
P001,P002,+91-90000-10001,+91-90000-10002,2026-08-19 18:19:00,293,voice
P039,P008,+91-90000-10039,+91-90000-10008,2026-06-08 20:25:00,729,voice
P042,P022,+91-90000-10042,+91-90000-10022,2026-06-03 14:04:00,565,voice
P001,P005,+91-90000-10001,+91-90000-10005,2026-07-19 20:48:00,128,voice
P037,P010,+91-90000-10037,+91-90000-10010,2026-07-08 05:35:00,691,voice
P043,P037,+91-90000-10043,+91-90000-10037,2026-06-13 06:44:00,726,voice
P002,P009,+91-90000-10002,+91-90000-10009,2026-08-05 21:14:00,790,voice
P003,P007,+91-90000-10003,+91-90000-10007,2026-07-05 08:23:00,700,voice
P005,P001,+91-90000-10005,+91-90000-10001,2026-06-12 11:10:00,800,voice
P001,P003,+91-90000-10001,+91-90000-10003,2026-08-19 15:13:00,83,voice
P007,P010,+91-90000-10007,+91-90000-10010,2026-06-26 23:04:00,824,voice
P004,P001,+91-90000-10004,+91-90000-10001,2026-07-03 23:02:00,394,voice
P046,P034,+91-90000-10046,+91-90000-10034,2026-06-01 13:48:00,74,voice
P038,P050,+91-90000-10038,+91-90000-10050,2026-06-16 23:08:00,164,voice
P010,P007,+91-90000-10010,+91-90000-10007,2026-06-13 02:03:00,187,voice
P002,P003,+91-90000-10002,+91-90000-10003,2026-06-05 01:48:00,145,voice
P002,P004,+91-90000-10002,+91-90000-10004,2026-07-02 11:04:00,28,voice
P001,P005,+91-90000-10001,+91-90000-10005,2026-08-23 19:04:00,179,voice
P004,P002,+91-90000-10004,+91-90000-10002,2026-08-10 08:23:00,408,voice
P010,P019,+91-90000-10010,+91-90000-10019,2026-06-23 17:17:00,695,voice
P038,P035,+91-90000-10038,+91-90000-10035,2026-07-15 11:18:00,286,voice
P007,P009,+91-90000-10007,+91-90000-10009,2026-07-10 14:58:00,441,voice
P007,P010,+91-90000-10007,+91-90000-10010,2026-08-15 20:37:00,385,voice
P006,P004,+91-90000-10006,+91-90000-10004,2026-06-20 14:05:00,853,voice
P050,P018,+91-90000-10050,+91-90000-10018,2026-07-05 03:05:00,16,voice
P008,P007,+91-90000-10008,+91-90000-10007,2026-07-08 00:32:00,470,voice
P030,P001,+91-90000-10030,+91-90000-10001,2026-08-24 14:39:00,753,voice
P010,P006,+91-90000-10010,+91-90000-10006,2026-07-09 05:44:00,33,voice
P005,P002,+91-90000-10005,+91-90000-10002,2026-08-03 15:06:00,64,voice
P005,P006,+91-90000-10005,+91-90000-10006,2026-06-27 09:49:00,431,voice
P008,P006,+91-90000-10008,+91-90000-10006,2026-07-18 09:41:00,547,voice
P006,P002,+91-90000-10006,+91-90000-10002,2026-07-20 06:26:00,259,voice
P005,P006,+91-90000-10005,+91-90000-10006,2026-08-07 23:24:00,607,voice
P008,P009,+91-90000-10008,+91-90000-10009,2026-08-05 06:39:00,28,voice
P010,P008,+91-90000-10010,+91-90000-10008,2026-06-01 05:50:00,240,voice
P005,P001,+91-90000-10005,+91-90000-10001,2026-06-05 16:16:00,612,voice
P003,P002,+91-90000-10003,+91-90000-10002,2026-06-16 22:24:00,573,voice
P003,P004,+91-90000-10003,+91-90000-10004,2026-06-20 06:44:00,703,voice
P023,P047,+91-90000-10023,+91-90000-10047,2026-06-25 12:01:00,864,voice
P007,P009,+91-90000-10007,+91-90000-10009,2026-07-22 14:21:00,462,voice
P010,P008,+91-90000-10010,+91-90000-10008,2026-08-08 21:28:00,742,voice
P006,P005,+91-90000-10006,+91-90000-10005,2026-07-08 13:40:00,235,voice
P007,P009,+91-90000-10007,+91-90000-10009,2026-06-21 03:33:00,847,voice
P002,P004,+91-90000-10002,+91-90000-10004,2026-08-15 22:58:00,610,voice
P015,P032,+91-90000-10015,+91-90000-10032,2026-06-05 05:48:00,585,voice
P001,P002,+91-90000-10001,+91-90000-10002,2026-08-17 13:08:00,787,voice
P016,P019,+91-90000-10016,+91-90000-10019,2026-08-01 18:02:00,30,voice
P003,P004,+91-90000-10003,+91-90000-10004,2026-06-25 05:03:00,897,voice
P008,P009,+91-90000-10008,+91-90000-10009,2026-06-19 04:27:00,242,voice
P026,P039,+91-90000-10026,+91-90000-10039,2026-08-12 18:45:00,35,voice
P016,P041,+91-90000-10016,+91-90000-10041,2026-08-14 14:45:00,584,voice
P023,P043,+91-90000-10023,+91-90000-10043,2026-08-06 12:43:00,367,voice
P006,P005,+91-90000-10006,+91-90000-10005,2026-06-17 05:00:00,792,voice
P009,P008,+91-90000-10009,+91-90000-10008,2026-06-04 23:48:00,259,voice
P024,P003,+91-90000-10024,+91-90000-10003,2026-07-11 15:30:00,439,voice
P001,P005,+91-90000-10001,+91-90000-10005,2026-06-27 01:35:00,812,voice
P019,P031,+91-90000-10019,+91-90000-10031,2026-06-04 11:43:00,674,voice
P006,P004,+91-90000-10006,+91-90000-10004,2026-07-10 05:43:00,614,voice
P032,P035,+91-90000-10032,+91-90000-10035,2026-07-06 21:10:00,175,voice
P021,P024,+91-90000-10021,+91-90000-10024,2026-06-20 17:38:00,337,voice
P003,P002,+91-90000-10003,+91-90000-10002,2026-08-14 07:21:00,824,voice
P023,P050,+91-90000-10023,+91-90000-10050,2026-06-21 06:32:00,322,voice
P040,P002,+91-90000-10040,+91-90000-10002,2026-07-09 21:27:00,164,voice
P037,P029,+91-90000-10037,+91-90000-10029,2026-08-04 06:19:00,608,voice
P015,P033,+91-90000-10015,+91-90000-10033,2026-08-04 02:48:00,55,voice
P006,P002,+91-90000-10006,+91-90000-10002,2026-07-09 17:45:00,172,voice
P035,P014,+91-90000-10035,+91-90000-10014,2026-06-19 13:24:00,336,voice
P001,P044,+91-90000-10001,+91-90000-10044,2026-07-07 07:17:00,492,voice
P003,P002,+91-90000-10003,+91-90000-10002,2026-07-08 20:16:00,668,voice
P003,P004,+91-90000-10003,+91-90000-10004,2026-07-02 14:11:00,152,voice
P007,P010,+91-90000-10007,+91-90000-10010,2026-07-03 09:17:00,543,voice
P004,P005,+91-90000-10004,+91-90000-10005,2026-08-26 09:33:00,225,voice
P046,P005,+91-90000-10046,+91-90000-10005,2026-08-27 07:25:00,295,voice
P047,P003,+91-90000-10047,+91-90000-10003,2026-07-09 01:07:00,256,voice
P002,P004,+91-90000-10002,+91-90000-10004,2026-08-06 20:07:00,469,voice
P005,P003,+91-90000-10005,+91-90000-10003,2026-07-25 03:20:00,313,voice
P008,P006,+91-90000-10008,+91-90000-10006,2026-07-20 03:27:00,481,voice
P002,P003,+91-90000-10002,+91-90000-10003,2026-08-16 05:53:00,396,voice
P010,P008,+91-90000-10010,+91-90000-10008,2026-08-11 18:48:00,245,voice
P007,P010,+91-90000-10007,+91-90000-10010,2026-07-06 19:27:00,329,voice
P005,P002,+91-90000-10005,+91-90000-10002,2026-08-19 11:04:00,283,voice
P010,P009,+91-90000-10010,+91-90000-10009,2026-06-09 00:54:00,367,voice
P001,P009,+91-90000-10001,+91-90000-10009,2026-08-13 03:05:00,601,voice
P034,P030,+91-90000-10034,+91-90000-10030,2026-06-03 19:44:00,564,voice
P002,P005,+91-90000-10002,+91-90000-10005,2026-06-20 15:52:00,67,voice
P005,P006,+91-90000-10005,+91-90000-10006,2026-07-23 01:56:00,843,voice
P002,P001,+91-90000-10002,+91-90000-10001,2026-08-18 21:39:00,379,voice
P009,P010,+91-90000-10009,+91-90000-10010,2026-08-21 17:52:00,42,voice
P006,P004,+91-90000-10006,+91-90000-10004,2026-08-14 19:54:00,592,voice
P037,P048,+91-90000-10037,+91-90000-10048,2026-08-23 22:13:00,606,voice
P006,P002,+91-90000-10006,+91-90000-10002,2026-07-21 22:44:00,673,voice
P036,P018,+91-90000-10036,+91-90000-10018,2026-08-02 00:20:00,709,voice
P006,P009,+91-90000-10006,+91-90000-10009,2026-06-18 08:35:00,209,voice
P003,P002,+91-90000-10003,+91-90000-10002,2026-07-27 23:22:00,643,voice
P004,P001,+91-90000-10004,+91-90000-10001,2026-08-06 11:04:00,143,voice
P002,P005,+91-90000-10002,+91-90000-10005,2026-07-25 13:03:00,276,voice
P020,P031,+91-90000-10020,+91-90000-10031,2026-06-01 05:23:00,836,voice
P003,P036,+91-90000-10003,+91-90000-10036,2026-08-21 02:19:00,245,voice
P042,P038,+91-90000-10042,+91-90000-10038,2026-06-13 11:32:00,447,voice
P007,P006,+91-90000-10007,+91-90000-10006,2026-07-25 00:07:00,112,voice
P045,P023,+91-90000-10045,+91-90000-10023,2026-08-15 03:27:00,590,voice
P015,P008,+91-90000-10015,+91-90000-10008,2026-08-09 09:32:00,71,voice
P018,P028,+91-90000-10018,+91-90000-10028,2026-06-02 21:42:00,263,voice
P006,P010,+91-90000-10006,+91-90000-10010,2026-07-03 17:21:00,91,voice
P007,P010,+91-90000-10007,+91-90000-10010,2026-08-16 13:40:00,707,voice
P031,P010,+91-90000-10031,+91-90000-10010,2026-06-12 18:48:00,373,voice
P004,P005,+91-90000-10004,+91-90000-10005,2026-06-23 16:12:00,861,voice
P016,P012,+91-90000-10016,+91-90000-10012,2026-08-11 03:13:00,239,voice
P009,P010,+91-90000-10009,+91-90000-10010,2026-07-10 21:15:00,796,voice
P004,P005,+91-90000-10004,+91-90000-10005,2026-08-05 09:37:00,739,voice
P009,P008,+91-90000-10009,+91-90000-10008,2026-06-04 13:35:00,578,voice
P003,P005,+91-90000-10003,+91-90000-10005,2026-08-21 19:48:00,347,voice
P003,P025,+91-90000-10003,+91-90000-10025,2026-08-01 09:30:00,321,voice
P012,P020,+91-90000-10012,+91-90000-10020,2026-06-16 09:51:00,179,voice
P005,P004,+91-90000-10005,+91-90000-10004,2026-06-12 22:51:00,653,voice
P009,P036,+91-90000-10009,+91-90000-10036,2026-06-27 06:07:00,140,voice
P025,P019,+91-90000-10025,+91-90000-10019,2026-07-08 23:00:00,519,voice
P035,P022,+91-90000-10035,+91-90000-10022,2026-07-13 19:38:00,775,voice
P020,P030,+91-90000-10020,+91-90000-10030,2026-08-14 04:57:00,506,voice
P009,P007,+91-90000-10009,+91-90000-10007,2026-06-19 20:52:00,49,voice
P006,P007,+91-90000-10006,+91-90000-10007,2026-07-17 10:51:00,572,voice
P001,P002,+91-90000-10001,+91-90000-10002,2026-07-24 12:45:00,401,voice
P007,P006,+91-90000-10007,+91-90000-10006,2026-07-11 03:46:00,346,voice
P004,P006,+91-90000-10004,+91-90000-10006,2026-06-23 20:33:00,504,voice
P006,P002,+91-90000-10006,+91-90000-10002,2026-06-03 20:22:00,205,voice
P037,P005,+91-90000-10037,+91-90000-10005,2026-08-06 10:52:00,847,voice
P008,P010,+91-90000-10008,+91-90000-10010,2026-07-26 04:25:00,17,voice
P005,P003,+91-90000-10005,+91-90000-10003,2026-07-19 21:50:00,855,voice
P004,P005,+91-90000-10004,+91-90000-10005,2026-06-12 16:28:00,325,voice
P004,P002,+91-90000-10004,+91-90000-10002,2026-08-09 00:27:00,620,voice
P002,P003,+91-90000-10002,+91-90000-10003,2026-07-04 01:28:00,639,voice
P049,P023,+91-90000-10049,+91-90000-10023,2026-08-16 06:33:00,779,voice
P005,P003,+91-90000-10005,+91-90000-10003,2026-08-01 10:55:00,440,voice
P006,P008,+91-90000-10006,+91-90000-10008,2026-06-20 21:13:00,728,voice
P002,P006,+91-90000-10002,+91-90000-10006,2026-06-07 15:20:00,396,voice
P006,P004,+91-90000-10006,+91-90000-10004,2026-07-12 07:24:00,568,voice
P002,P004,+91-90000-10002,+91-90000-10004,2026-07-22 10:02:00,184,voice
P006,P002,+91-90000-10006,+91-90000-10002,2026-08-02 19:45:00,671,voice
P049,P033,+91-90000-10049,+91-90000-10033,2026-06-05 18:40:00,867,voice
P028,P034,+91-90000-10028,+91-90000-10034,2026-07-15 08:21:00,336,voice
P026,P008,+91-90000-10026,+91-90000-10008,2026-06-27 16:42:00,667,voice
P036,P009,+91-90000-10036,+91-90000-10009,2026-08-23 17:38:00,442,voice
P007,P010,+91-90000-10007,+91-90000-10010,2026-07-25 18:06:00,478,voice
