entity_id,entity_type,source,source_id
P013,vehicle,vehicle,DL23AB1013
P013,bank_account,finance,ACC100013
P013,social_account,social,user_013
P014,person,master,P014
P014,phone,cdr,+91-90000-10014
P014,vehicle,vehicle,KA24AB1014
P014,bank_account,finance,ACC100014
P014,social_account,social,user_014
P015,person,master,P015
P015,phone,cdr,+91-90000-10015
P015,vehicle,vehicle,GJ25AB1015
P015,bank_account,finance,ACC100015
P015,social_account,social,user_015
P016,person,master,P016
P016,phone,cdr,+91-90000-10016
P016,vehicle,vehicle,MH26AB1016
P016,bank_account,finance,ACC100016
P016,social_account,social,user_016
P017,person,master,P017
P017,phone,cdr,+91-90000-10017
P017,vehicle,vehicle,DL27AB1017
P017,bank_account,finance,ACC100017
P017,social_account,social,user_017
P018,person,master,P018
P018,phone,cdr,+91-90000-10018
P018,vehicle,vehicle,KA28AB1018
P018,bank_account,finance,ACC100018
P018,social_account,social,user_018
P019,person,master,P019
P019,phone,cdr,+91-90000-10019
P019,vehicle,vehicle,GJ29AB1019
P019,bank_account,finance,ACC100019
P019,social_account,social,user_019
P020,person,master,P020
P020,phone,cdr,+91-90000-10020
P020,vehicle,vehicle,MH30AB1020
P020,bank_account,finance,ACC100020
P020,social_account,social,user_020
P021,person,master,P021
P021,phone,cdr,+91-90000-10021
P021,vehicle,vehicle,DL31AB1021
P021,bank_account,finance,ACC100021
P021,social_account,social,user_021
P022,person,master,P022
P022,phone,cdr,+91-90000-10022
P022,vehicle,vehicle,KA32AB1022
P022,bank_account,finance,ACC100022
P022,social_account,social,user_022
P023,person,master,P023
P023,phone,cdr,+91-90000-10023
P023,vehicle,vehicle,GJ33AB1023
P023,bank_account,finance,ACC100023
P023,social_account,social,user_023
P024,person,master,P024
P024,phone,cdr,+91-90000-10024
P024,vehicle,vehicle,MH34AB1024
P024,bank_account,finance,ACC100024
P024,social_account,social,user_024
P025,person,master,P025
P025,phone,cdr,+91-90000-10025
P025,vehicle,vehicle,DL35AB1025
P025,bank_account,finance,ACC100025
P025,social_account,social,user_025
P026,person,master,P026
P026,phone,cdr,+91-90000-10026
P026,vehicle,vehicle,KA36AB1026
P026,bank_account,finance,ACC100026
P026,social_account,social,user_026
P027,person,master,P027
P027,phone,cdr,+91-90000-10027
P027,vehicle,vehicle,GJ37AB1027
P027,bank_account,finance,ACC100027
P027,social_account,social,user_027
P028,person,master,P028
P028,phone,cdr,+91-90000-10028
P028,vehicle,vehicle,MH38AB1028
P028,bank_account,finance,ACC100028
P028,social_account,social,user_028
P029,person,master,P029
P029,phone,cdr,+91-90000-10029
P029,vehicle,vehicle,DL39AB1029
P029,bank_account,finance,ACC100029
P029,social_account,social,user_029
P030,person,master,P030
P030,phone,cdr,+91-90000-10030
P030,vehicle,vehicle,KA40AB1030
P030,bank_account,finance,ACC100030
P030,social_account,social,user_030
P031,person,master,P031
P031,phone,cdr,+91-90000-10031
P031,vehicle,vehicle,GJ41AB1031
P031,bank_account,finance,ACC100031
P031,social_account,social,user_031
P032,person,master,P032
P032,phone,cdr,+91-90000-10032
P032,vehicle,vehicle,MH42AB1032
P032,bank_account,finance,ACC100032
P032,social_account,social,user_032
P033,person,master,P033
P033,phone,cdr,+91-90000-10033
P033,vehicle,vehicle,DL43AB1033
P033,bank_account,finance,ACC100033
P033,social_account,social,user_033
P034,person,master,P034
P034,phone,cdr,+91-90000-10034
P034,vehicle,vehicle,KA44AB1034
P034,bank_account,finance,ACC100034
P034,social_account,social,user_034
P035,person,master,P035
P035,phone,cdr,+91-90000-10035
P035,vehicle,vehicle,GJ45AB1035
P035,bank_account,finance,ACC100035
P035,social_account,social,user_035
P036,person,master,P036
P036,phone,cdr,+91-90000-10036
P036,vehicle,vehicle,MH46AB1036
P036,bank_account,finance,ACC100036
P036,social_account,social,user_036
P037,person,master,P037
P037,phone,cdr,+91-90000-10037
P037,vehicle,vehicle,DL47AB1037
P037,bank_account,finance,ACC100037
P037,social_account,social,user_037
P038,person,master,P038
P038,phone,cdr,+91-90000-10038
P038,vehicle,vehicle,KA48AB1038
P038,bank_account,finance,ACC100038
P038,social_account,social,user_038
P039,person,master,P039
P039,phone,cdr,+91-90000-10039
P039,vehicle,vehicle,GJ49AB1039
P039,bank_account,finance,ACC100039
P039,social_account,social,user_039
P040,person,master,P040
P040,phone,cdr,+91-90000-10040
P040,vehicle,vehicle,MH50AB1040
P040,bank_account,finance,ACC100040
P040,social_account,social,user_040
P041,person,master,P041
P041,phone,cdr,+91-90000-10041
P041,vehicle,vehicle,DL51AB1041
P041,bank_account,finance,ACC100041
P041,social_account,social,user_041
P042,person,master,P042
P042,phone,cdr,+91-90000-10042
P042,vehicle,vehicle,KA52AB1042
P042,bank_account,finance,ACC100042
P042,social_account,social,user_042
P043,person,master,P043
P043,phone,cdr,+91-90000-10043
P043,vehicle,vehicle,GJ53AB1043
P043,bank_account,finance,ACC100043
P043,social_account,social,user_043
P044,person,master,P044
P044,phone,cdr,+91-90000-10044
P044,vehicle,vehicle,MH54AB1044
P044,bank_account,finance,ACC100044
P044,social_account,social,user_044
P045,person,master,P045
P045,phone,cdr,+91-90000-10045
P045,vehicle,vehicle,DL55AB1045
P045,bank_account,finance,ACC100045
P045,social_account,social,user_045
P046,person,master,P046
P046,phone,cdr,+91-90000-10046
P046,vehicle,vehicle,KA56AB1046
P046,bank_account,finance,ACC100046
P046,social_account,social,user_046
P047,person,master,P047
P047,phone,cdr,+91-90000-10047
P047,vehicle,vehicle,GJ57AB1047
P047,bank_account,finance,ACC100047
P047,social_account,social,user_047
P048,person,master,P048
P048,phone,cdr,+91-90000-10048
P048,vehicle,vehicle,MH58AB1048
P048,bank_account,finance,ACC100048
P048,social_account,social,user_048
P049,person,master,P049
P049,phone,cdr,+91-90000-10049
P049,vehicle,vehicle,DL59AB1049
P049,bank_account,finance,ACC100049
P049,social_account,social,user_049
P050,person,master,P050
P050,phone,cdr,+91-90000-10050
P050,vehicle,vehicle,KA60AB1050
P050,bank_account,finance,ACC100050
P050,social_account,social,user_050
